year;literacy_rate;monthly_health_exp
1996;96.77;3306
1997;97.85;3029
1998;97.99;3191
1999;97.81;4575
2000;97.56;4914
2001;97.24;7664
2002;98.22;10381
2003;98.41;8121
2004;98.31;10959
2005;98.32;12268
2006;98.23;13082
2007;98.76;14082
2008;98.5;
2009;98.9;25073
2010;99.13;24613
2011;98.83;45702
2012;99.07;38981
2013;99.198288;59528.32
2014;99.54;56573.35
2015;99.58598328;45208.52734
2016;99.63825989;48422.28906
2017;99.67084503;57358.5
2018;99.71981049;51015.61245
2019;99.73651886;51546.64682
2020;100.619194;54800.17158
